description,issue_type
Can you help me get a copy of my academic transcript?,Transcript
Can you sign my withdrawal form for the semester?,Signature
What time does the exam start?,Examination
Adakah peperiksaan ini berbuka buku?,Examination
Bagaimana cara untuk memohon cuti akademik?,Other
Apakah biasiswa yang tersedia untuk pelajar dalam bidang perubatan?,Scholarship
Apakah prosedur untuk memohon masa tambahan semasa peperiksaan?,Examination
I need your signature for my graduation application.,Signature
What are the resources available for international students?,Other
Tolong sahkan permohonan ini dengan tandatangan anda.,Signature
How do I sign up for faculty training on new technology tools?,Enrollment
Tolong tandatangan borang pengecualian kursus saya.,Signature
How do I request a transcript for graduate school admissions?,Transcript
Tolong tandatangan borang permohonan program luar negara saya.,Signature
Can I bring a voice recorder into the exam?,Examination
What happens if my exam is interrupted by a technical issue?,Examination
Can you help me get a transcript to apply for an international exchange program?,Transcript
Bagaimana saya boleh menghubungi kesatuan pelajar?,Other
Can I apply for a scholarship if I’m from a disadvantaged background?,Scholarship
Do I need to provide letters of recommendation for scholarship applications?,Scholarship
Would you kindly sign my proof of enrollment form?,Signature
Bolehkah anda tandatangan surat pengesahan kemasukan saya?,Signature
Can I join a student-led research project?,Other
Are there any guidelines for taking an oral exam?,Examination
How do I register for faculty development programs on academic leadership?,Enrollment
Adakah terdapat biasiswa untuk pelajar yang mengejar kerjaya dalam bidang kejururawatan?,Scholarship
Can you sign my project funding application?,Signature
Adakah terdapat cara untuk memohon biasiswa jika saya terlepas tarikh akhir permohonan?,Scholarship
Can I get a university tour?,Other
Apakah biasiswa yang tersedia untuk pelajar yang mengejar ijazah dalam bidang undang-undang?,Scholarship
What do I need to bring to the exam room?,Examination
Are there scholarships for students pursuing degrees in nursing?,Scholarship
Adakah saya perlu memohon semula biasiswa yang sama setiap tahun?,Scholarship
Bagaimana saya menghantar permohonan biasiswa?,Scholarship
Can I get my transcript sent directly to my new employer?,Transcript
Bolehkah saya mendaftar untuk kelas jika sudah lewat?,Enrollment
Can I receive my transcript by certified mail?,Transcript
Bagaimana cara untuk mendaftar acara universiti?,Other
How do I get my transcript sent to a licensing board?,Transcript
Di manakah saya boleh mendapatkan maklumat mengenai insurans kesihatan pelajar?,Other
How do I get a transcript for applying to law school?,Transcript
Adakah terdapat biasiswa untuk pelajar yang mengejar kerjaya dalam bidang kejururawatan?,Scholarship
How do I register for faculty collaborative workshops?,Enrollment
Bolehkah anda tandatangan permohonan bantuan kewangan saya?,Signature
Can I enroll in a faculty-only course offered this semester?,Enrollment
Apa yang perlu saya bawa ke bilik peperiksaan?,Examination
Bolehkah saya memohon biasiswa jika saya datang dari latar belakang yang kurang bernasib baik?,Scholarship
Can you provide more details about the university’s sustainability efforts?,Other
How can I get a scholarship to study engineering?,Scholarship
Please sign my petition to attend another university.,Signature
Apakah biasiswa terbaik untuk pelajar antarabangsa?,Scholarship
Saya perlukan tandatangan anda untuk permohonan graduasi saya.,Signature
Can I obtain a transcript for my application to a scholarship program?,Transcript
I need my transcript to apply for an external scholarship.,Transcript
Saya perlukan tandatangan anda pada borang ini.,Signature
I need a copy of my transcript,Transcript
Bagaimana cara untuk mendaftar kursus dalam talian?,Enrollment
How can I register for my classes?,Enrollment
How do I join the university’s faculty peer review group?,Enrollment
Are there any student-run businesses on campus?,Other
What do I do if I get distracted by other students during the exam?,Examination
Sila tandatangan pada dokumen ini.,Signature
How do I enroll in faculty development programs?,Enrollment
Where can I get a copy of the student handbook?,Other
How do I join the university’s faculty peer review group?,Enrollment
Apakah dokumen yang diperlukan untuk pendaftaran?,Enrollment
Are there scholarships for students studying computer science?,Scholarship
Bolehkah anda tandatangan borang permohonan untuk pengesahan transkrip?,Signature
Apa yang perlu saya lakukan jika bilik peperiksaan terlalu sejuk atau panas?,Examination
Bagaimana saya boleh mendapatkan transkrip dari universiti?,Transcript
Can I access health resources as an international student?,Other
How can I join a student research group?,Other
I need a transcript for my internship application.,Transcript
Please sign my work-study program application.,Signature
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
Can you sign my petition for credit transfer?,Signature
Can I apply for an international exchange program?,Other
Sudi tak tandatangan borang pelepasan graduasi saya?,Signature
Sudi tak tandatangan surat rasmi kepada pentadbiran universiti?,Signature
Apakah peraturan untuk peperiksaan jarak jauh?,Examination
Where can I find the forms to register for a faculty mentoring program?,Enrollment
Saya perlukan maklumat am mengenai acara universiti.,Other
Tolong tandatangan borang permohonan pertukaran pelajar antarabangsa saya.,Signature
Can I use the university’s email for personal purposes?,Other
Bolehkah anda tandatangan borang pemindahan kredit saya?,Signature
Bolehkah saya dapatkan tandatangan anda untuk permohonan biasiswa saya?,Signature
Bolehkah anda hantar transkrip saya ke sekolah baru saya?,Transcript
Can I appeal my exam grade if I think it's incorrect?,Examination
Bolehkah anda hantar transkrip saya ke emel peribadi saya?,Transcript
Adakah terdapat biasiswa untuk pelajar yang mengejar ijazah dalam bidang perniagaan?,Scholarship
Would you sign my travel allowance request form?,Signature
Can I obtain a transcript if I have an outstanding balance?,Transcript
How do I apply for a scholarship for a STEM program?,Scholarship
Can you sign my petition for credit transfer?,Signature
How can I find out about leadership positions in student organizations?,Other
Bolehkah saya memohon transkrip jika saya telah tamat pengajian?,Transcript
Can you sign my request for a special project?,Signature
Apa yang berlaku jika saya selesai peperiksaan lebih awal?,Examination
Saya perlu bantuan untuk memilih kursus untuk semester hadapan.,Enrollment
How can I submit an idea for a campus initiative?,Other
What should I do if I am having trouble in a group project?,Other
Please sign my internship evaluation form.,Signature
Adakah terdapat cara untuk memohon biasiswa jika saya terlepas tarikh akhir permohonan?,Scholarship
Can I attend university events without being a student?,Other
Bolehkah saya memohon biasiswa jika saya mempunyai pekerjaan sambilan?,Scholarship
Apa yang berlaku jika saya terlepas peperiksaan kerana kecemasan?,Examination
Apakah prosedur untuk menduduki peperiksaan secara jarak jauh?,Examination
Bolehkah saya memohon transkrip jika saya telah tamat pengajian?,Transcript
Can you sign my internship application?,Signature
How do I request enrollment in an advanced teaching seminar?,Enrollment
Adakah terdapat biasiswa untuk pelajar pasca siswazah?,Scholarship
Can you sign this petition?,Signature
Where can I enroll in a professional development program for teaching?,Enrollment
Bagaimana saya memohon biasiswa yang dibiayai oleh kerajaan?,Scholarship
Please sign my application for student housing.,Signature
Is there a space for student art exhibitions on campus?,Other
What scholarships are available for students interested in public health?,Scholarship
Please sign my application for student housing.,Signature
Where can I find information about campus accessibility?,Other
Adakah terdapat had masa untuk pendaftaran kursus?,Enrollment
What should I do if I miss the registration deadline for an exam?,Examination
What happens if I miss an exam due to an emergency?,Examination
Apakah yang perlu saya lakukan jika saya menghadapi masalah teknikal dengan kursus saya?,Other
Bolehkah saya mendapatkan transkrip daripada ketua jabatan saya?,Transcript
What are the rules for taking a midterm exam?,Examination
Could you sign my student club registration form?,Signature
Bolehkah saya memohon lebih daripada satu biasiswa?,Scholarship
Can I appeal the exam rules or procedures?,Examination
Bolehkah anda tandatangan borang permohonan untuk pengesahan transkrip?,Signature
Do I need to maintain a certain GPA to keep my scholarship?,Scholarship
How can I sign up for a faculty-only professional development day?,Enrollment
Adakah terdapat biasiswa untuk pelajar yang mengejar ijazah dalam bidang pendidikan?,Scholarship
Is there a way to apply for a scholarship if I missed the application deadline?,Scholarship
Bagaimana saya boleh mendapatkan transkrip dari universiti?,Transcript
Apa syarat untuk memohon biasiswa untuk pelajar baru?,Scholarship
Apa prosedur jika saya didapati menggunakan bahan yang tidak dibenarkan dalam peperiksaan?,Examination
Bagaimana saya boleh bersedia untuk peperiksaan komprehensif?,Examination
Can I get your signature for a course prerequisite waiver?,Signature
Bagaimana cara untuk mempersiapkan diri untuk peperiksaan?,Examination
Can I request extra time for an exam due to personal circumstances?,Examination
How do I request to enroll in a faculty-led training workshop?,Enrollment
Adakah terdapat sebarang kemudahan khas untuk pelajar kurang upaya semasa peperiksaan?,Examination
Sila sahkan dengan tandatangan anda.,Signature
Can you please sign my re-registration form?,Signature
Could you sign my graduate internship confirmation?,Signature
Can I apply for a scholarship if I have a low SAT/ACT score?,Scholarship
I have a general inquiry that doesn't fit into any category.,Other
Apakah prosedur untuk menghantar peperiksaan dalam talian?,Examination
Could you please sign my transcript release form?,Signature
What should I do if I can’t access the registration portal?,Enrollment
My grade report isn’t showing,Transcript
Can I request a transcript if I haven’t completed my degree?,Transcript
Bolehkah saya mendapatkan transkrip untuk peperiksaan akhir saya?,Transcript
I need my transcript to apply for an external scholarship.,Transcript
What is the procedure for enrolling in faculty-led community outreach projects?,Enrollment
Can I bring a pen and paper to the exam?,Examination
Can I apply for scholarships if I am working full-time?,Scholarship
Saya perlukan transkrip akademik saya untuk permohonan biasiswa.,Transcript
Apakah langkah-langkah untuk pendaftaran pelajar baru?,Enrollment
Is there a student resource center on campus?,Other
Where can I access financial planning resources?,Other
How do I prepare for an online exam?,Examination
How do I get permission to enroll in a full class?,Enrollment
Bolehkah saya membawa sweater atau jaket ke dalam bilik peperiksaan?,Examination
Do scholarships provide funding for books and supplies?,Scholarship
Adakah terdapat biasiswa untuk pelajar yang melanjutkan pelajaran ke peringkat sarjana?,Scholarship
Can I get your signature for a departmental leave of absence?,Signature
Please sign my leave request for family reasons.,Signature
Can I take a course if I haven’t met the prerequisites?,Enrollment
Are there scholarships for students pursuing degrees in education?,Scholarship
How can I contact the campus tech support?,Other
Could you sign my transcript release form?,Signature
Can I apply for a scholarship if I don’t have an outstanding academic record?,Scholarship
Bolehkah anda tandatangan permohonan untuk penjadualan semula peperiksaan?,Signature
Can I request to meet with a faculty member outside of class?,Other
Bolehkah saya memohon biasiswa jika saya mempunyai pekerjaan sambilan?,Scholarship
Would you please sign my emergency contact form?,Signature
How do I access the career counseling services?,Other
How can I get involved in campus sustainability initiatives?,Other
Can you sign my thesis/dissertation proposal?,Signature
Bolehkah anda tandatangan surat ini?,Signature
How do I apply to register for a teaching innovation seminar?,Enrollment
Tolong tandatangan borang permohonan pertukaran pelajar antarabangsa saya.,Signature
Can I get your signature for a course prerequisite waiver?,Signature
Can I ask for clarification during the exam?,Examination
Could you sign my university membership form?,Signature
Bolehkah anda tandatangan surat kebenaran ini?,Signature
Can I take my phone with me in the exam room for emergency purposes?,Examination
How do I register for the faculty mentorship program?,Enrollment
Are there any guidelines for taking an oral exam?,Examination
Bagaimana cara untuk mendaftar acara universiti?,Other
Adakah terdapat sebarang peraturan mengenai penggunaan kalkulator?,Examination
Bagaimana untuk semak keputusan peperiksaan?,Examination
Bolehkah anda berikan saya transkrip tidak rasmi?,Transcript
Is there a limit to the number of courses I can enroll in as a faculty member?,Enrollment
Bolehkah anda berikan saya ringkasan transkrip untuk program ijazah saya?,Transcript
Bagaimana saya mencari biasiswa untuk pelajar yang belajar matematik?,Scholarship
Can I get your signature for my career services application?,Signature
Bagaimana saya memohon biasiswa atlet?,Scholarship
How do I apply for faculty enrollment in advanced research programs?,Enrollment
Bolehkah saya memohon lebih daripada satu biasiswa?,Scholarship
Bolehkah saya mendapatkan salinan transkrip untuk semua kursus yang telah saya ambil?,Transcript
Are there scholarships for students studying music?,Scholarship
What should I do if I miss the registration deadline for an exam?,Examination
Are we allowed to bring notes or textbooks to the exam?,Examination
Bolehkah saya daftar untuk kelas selepas permulaan semester?,Enrollment
Tolong tandatangan permohonan untuk perkhidmatan sokongan disabiliti saya.,Signature
What should I do if I encounter technical issues during an online exam?,Examination
Boleh tandatangan borang ini untuk permohonan?,Signature
Adakah terdapat biasiswa untuk pelajar yang belajar dalam bidang kerja sosial?,Scholarship
Can I get a copy of my grades?,Transcript
Bolehkah saya mendapatkan transkrip dihantar kepada majikan saya?,Transcript
Can I get your signature for my course feedback form?,Signature
Bolehkah anda bantu saya memohon transkrip rasmi?,Transcript
Can I apply for multiple scholarships at once?,Scholarship
Apa yang perlu saya lakukan jika saya terlambat ke peperiksaan?,Examination
What happens if I lose my exam materials during the exam?,Examination
Bagaimana cara untuk mendaftar acara universiti?,Other
How do I prepare for an open-book exam?,Examination
Can I enroll in a teaching certification program?,Enrollment
Can you sign my study leave request form?,Signature
Could you sign my scholarship acceptance letter?,Signature
Can I get your signature for my housing renewal form?,Signature
Can I get your signature on this form?,Signature
Can I get your signature for my graduation petition?,Signature
Are there scholarships for students studying journalism?,Scholarship
Bolehkah anda tandatangan permohonan program pengajian luar negara saya?,Signature
How do I cancel my exam registration?,Examination
How do I sign up for faculty training on new technology tools?,Enrollment
Bolehkah anda tandatangan surat rekomendasi saya?,Signature
Sila tandatangan dokumen ini untuk melengkapkan permohonan.,Signature
Di manakah saya boleh mendapatkan salinan kod etika universiti?,Other
Can I join a student-led research project?,Other
Boleh tandatangan borang ini untuk permohonan?,Signature
Would you be willing to sign my student loan documents?,Signature
How do I register for interdisciplinary faculty programs this semester?,Enrollment
Boleh beri maklumat mengenai proses pendaftaran?,Enrollment
Can I apply for a scholarship if I’m from a disadvantaged background?,Scholarship
Bolehkah anda berikan transkrip rasmi saya untuk perubahan kerjaya?,Transcript
How can I get in touch with the university’s IT department?,Other
Can you sign my course substitution form?,Signature
Would you sign my travel allowance request form?,Signature
Can I get a scholarship for studying abroad?,Scholarship
Bolehkah saya menduduki peperiksaan lebih awal jika saya ada rancangan perjalanan?,Examination
Bolehkah saya memohon penginapan khas untuk keperluan kecacatan?,Other
Bolehkah saya membawa makanan ke dalam bilik peperiksaan?,Examination
Bolehkah anda tandatangan borang pendaftaran kursus saya?,Signature
Apakah garis panduan untuk menggunakan sumber universiti?,Other
Adakah terdapat peluang mentor pelajar di kampus?,Other
Can I take the exam if I am late?,Examination
Bolehkah anda tandatangan permohonan untuk perumahan pelajar?,Signature
How do I apply for a scholarship?,Scholarship
Can you sign this approval for me?,Signature
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Bagaimana cara saya memohon tarikh peperiksaan alternatif?,Examination
Is there a limit on how many items I can bring into the exam room?,Examination
Bagaimana saya mendaftar untuk peperiksaan ulangan?,Examination
Where can I find information about campus sustainability?,Other
Bolehkah saya mendapatkan transkrip dengan cara dipercepatkan?,Transcript
Bagaimana cara saya memohon transkrip untuk program pertukaran pelajar?,Transcript
How do I obtain a transcript from the university?,Transcript
Adakah terdapat acara bagi pelajar untuk bertemu alumni?,Other
Bagaimana saya melaporkan tentang ketidakjujuran akademik?,Other
Bolehkah saya memohon biasiswa jika saya adalah pelajar dewasa?,Scholarship
Could you sign my undergraduate transfer request?,Signature
Bolehkah saya mendapatkan transkrip dihantar kepada majikan saya?,Transcript
I require your signature for the official submission.,Signature
Apakah prosedur untuk memohon masa tambahan semasa peperiksaan?,Examination
Bolehkah anda tandatangan permohonan dana penyelidikan saya?,Signature
Can I get my transcript sent directly to my academic advisor?,Transcript
Bagaimana saya memohon biasiswa jika saya bukan warganegara negara ini?,Scholarship
Please authorize this form with your signature.,Signature
Bagaimana cara saya mendapatkan transkrip jika saya belajar di luar negara?,Transcript
Bolehkah anda hantar transkrip rasmi untuk permohonan saya?,Transcript
Bolehkah saya dapatkan tandatangan borang permohonan pinjaman pelajar?,Signature
Please sign my request for independent study approval.,Signature
Where can I apply for faculty development grants?,Enrollment
Can I receive a transcript directly from the department chair?,Transcript
Can I apply for a scholarship if I have had a gap in my education?,Scholarship
Saya ingin tahu tentang kehidupan pelajar di kampus.,Other
Bagaimana saya boleh bersedia untuk peperiksaan bertulis?,Examination
Bolehkah anda berikan transkrip rasmi saya untuk perubahan kerjaya?,Transcript
Can you please sign my final exam application form?,Signature
I need help with registering for my classes.,Enrollment
Can I take my phone with me in the exam room for emergency purposes?,Examination
Adakah terdapat garis panduan untuk peperiksaan lisan?,Examination
When is the deadline to apply for an exam deferral?,Examination
Bolehkah anda tandatangan permohonan penyelidikan saya?,Signature
Can I change my course schedule after the semester starts?,Enrollment
How can I increase my chances of receiving a scholarship?,Scholarship
Bolehkah saya mendapatkan transkrip dihantar terus ke universiti lain?,Transcript
Can I get involved in an entrepreneurship program?,Other
Bolehkah anda jelaskan cara menggunakan sumber perpustakaan?,Other
Can I bring an annotated textbook to the exam?,Examination
Could you please email me my transcript?,Transcript
How do I apply to be a faculty trainer for new courses?,Enrollment
Can I register for classes after the deadline?,Enrollment
Are there scholarships for students with disabilities?,Scholarship
Could you provide me with a transcript summary for my degree program?,Transcript
What are the requirements for enrolling in a faculty research grant program?,Enrollment
Where do I register for faculty workshops on digital learning?,Enrollment
Tolong tandatangan borang permohonan cuti sakit ini.,Signature
Adakah terdapat biasiswa untuk pelajar yang belajar dalam bidang kerja sosial?,Scholarship
Bolehkah saya menukar kelas selepas saya daftar?,Enrollment
Bolehkah anda terangkan cara untuk menggunakan gim kampus?,Other
Can I bring a friend into the exam room for support?,Examination
Bolehkah anda tandatangan borang permohonan kredit yang tertangguh?,Signature
Can I write on the exam paper itself?,Examination
Are there any peer mentorship opportunities on campus?,Other
Bagaimana cara saya untuk mendapatkan transkrip jika saya tidak mempunyai akses ke portal pelajar?,Transcript
Can I take my personal belongings into the exam room?,Examination
Sudi tak tandatangan borang kebenaran ini?,Signature
Can I get your signature on my official university transcript request?,Signature
Can I appeal my exam grade if I think it's incorrect?,Examination
Are there scholarships for students studying environmental studies?,Scholarship
Bolehkah saya menukar kelas selepas saya daftar?,Enrollment
Pukul berapa peperiksaan bermula?,Examination
Can I request my transcript for a visa renewal?,Transcript
What is the process for enrolling in a faculty leadership certification program?,Enrollment
Bolehkah saya berehat semasa peperiksaan?,Examination
Can I bring my notes into the exam?,Examination
Bagaimana cara saya mendapatkan transkrip yang diubahsuai untuk aplikasi kerja?,Transcript
What is the registration process for new students?,Enrollment
Could you sign my academic transcript request?,Signature
Bolehkah saya memohon biasiswa jika saya pelajar pertama dalam keluarga?,Scholarship
How can I apply for financial aid?,Scholarship
Saya perlukan tandatangan anda pada borang permohonan elaun perjalanan saya.,Signature
How can I become a student representative?,Other
Do I need to provide a personal statement for a scholarship application?,Scholarship
How do I enroll in a faculty writing retreat?,Enrollment
What should I do if I am having trouble in a group project?,Other
Saya ingin berbincang tentang peluang latihan industri.,Other
Can I get a transcript for the courses I’ve taken during the summer session?,Transcript
I need my academic transcript for scholarship purposes.,Transcript
Are there scholarships for students pursuing degrees in education?,Scholarship
Bagaimana saya boleh mendapatkan transkrip dari universiti?,Transcript
Can you provide me with my official transcript for a career change?,Transcript
Can I bring my notes into the exam?,Examination
What is the procedure to request a transcript extension?,Other
Can I apply for a scholarship if I’m studying part-time?,Scholarship
Where can I find career networking events?,Other
Bolehkah anda tandatangan borang permohonan keahlian kelab pelajar?,Signature
Apakah prosedur untuk menambah kursus selepas semester bermula?,Other
Bagaimana saya melaporkan tentang ketidakjujuran akademik?,Other
Can I apply for a scholarship if I don’t have an outstanding academic record?,Scholarship
Can I bring a water bottle into the exam room?,Examination
What is the procedure if I am caught using unauthorized materials in the exam?,Examination
Apakah dokumen yang diperlukan untuk memohon biasiswa?,Scholarship
Where can I register for workshops on faculty development?,Enrollment
How do I enroll in a summer program?,Enrollment
Could you please email me my transcript?,Transcript
Bagaimana saya boleh memohon perubahan jadual peperiksaan?,Examination
Adakah terdapat peluang mentor pelajar di kampus?,Other
Bolehkah saya memohon biasiswa jika saya mempunyai kecacatan?,Scholarship
Can I apply for a scholarship if I’m studying at a community college?,Scholarship
What is the process for enrolling in a faculty leadership certification program?,Enrollment
Adakah terdapat biasiswa untuk pelajar dengan pengalaman kepimpinan?,Scholarship
Apakah yang perlu saya lakukan jika saya menghadapi masalah teknikal dengan kursus saya?,Other
Can you help with something that doesn’t fit anywhere else?,Other
Where can I access financial planning resources?,Other
What is the policy on exam invigilation?,Examination
How can I join a student research group?,Other
How can I get involved in student government?,Other
I’m having trouble with my course registration.,Enrollment
Can I enroll in a faculty seminar on academic writing?,Enrollment
Could you help me with the process of requesting a transcript?,Transcript
How do I join the university’s faculty peer review group?,Enrollment
Where can I find the enrollment policy for faculty workshops?,Enrollment
Can I bring my calculator to the exam?,Examination
What is the last day to enroll in courses?,Enrollment
Bolehkah saya mendapatkan transkrip untuk permohonan jurusan yang berbeza?,Transcript
Bolehkah anda hantar transkrip saya ke alamat rumah saya?,Transcript
Adakah terdapat peraturan untuk peperiksaan kumpulan?,Examination
Bolehkah saya mendapatkan transkrip sebelum keputusan akhir saya dipaparkan?,Transcript
I lost my transcript,Transcript
Can I take my phone with me in the exam room for emergency purposes?,Examination
Bolehkah saya mendapatkan permit tempat letak kereta sebagai pelajar?,Other
Would you please sign my university exchange application?,Signature
Bolehkah saya membawa sweater atau jaket ke dalam bilik peperiksaan?,Examination
Bagaimana saya boleh menghubungi jabatan sokongan IT?,Other
How do I sign up for my courses?,Enrollment
Do I need to provide letters of recommendation for scholarship applications?,Scholarship
How do I register for faculty leadership training?,Enrollment
Bolehkah anda tandatangan borang permohonan pengecualian kelas?,Signature
Can you sign my academic suspension appeal?,Signature
Apakah peraturan untuk peperiksaan jarak jauh?,Examination
How do I apply for on-campus jobs?,Other
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Is there a space for student art exhibitions on campus?,Other
Can I get a transcript with my final grades for a particular semester?,Transcript
Apakah peraturan dalam bilik peperiksaan?,Examination
Are there any scholarships for students studying environmental science?,Scholarship
Could you provide me with a transcript summary for my degree program?,Transcript
Could you please sign my loan deferment form?,Signature
Apa syarat untuk memohon biasiswa untuk pelajar baru?,Scholarship
What’s the best way to network with alumni?,Other
Can I write on the exam paper itself?,Examination
How do I file a report about academic dishonesty?,Other
How do I get a certificate for attending a university workshop?,Other
How do I get a transcript for applying to law school?,Transcript
Can I apply for a scholarship after I’ve already enrolled in my course?,Scholarship
How do I sign up for my courses?,Enrollment
Berapa lama masa yang diambil untuk transkrip saya tersedia selepas tamat pengajian?,Transcript
Can I take a course if I haven’t met the prerequisites?,Enrollment
Is there a way to apply for a scholarship if I missed the application deadline?,Scholarship
Tolong tandatangan borang pengesahan ini.,Signature
Apa yang perlu saya lakukan jika saya mengesyaki ada penipuan semasa peperiksaan?,Examination
Can you sign this document for me?,Signature
Adakah terdapat peluang mentor pelajar di kampus?,Other
Please authorize this form with your signature.,Signature
Would you be willing to sign my student loan documents?,Signature
Bagaimana cara untuk mempersiapkan diri untuk peperiksaan?,Examination
This is a random question I need answered.,Other
Saya perlukan transkrip saya untuk permohonan program fellowship.,Transcript
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Bagaimana cara saya mendapatkan transkrip untuk permohonan fellowship?,Transcript
Bagaimana saya boleh mendapatkan salinan kertas peperiksaan selepas peperiksaan?,Examination
What should I do if I feel unwell during the exam?,Examination
What’s the exam schedule like?,Examination
Can I get my transcript sent to a university for course credit evaluation?,Transcript
Can I appeal my exam results?,Examination
Can I apply for a scholarship if I’ve already received financial aid?,Scholarship
What are the best scholarships for international students?,Scholarship
How do I register for an online faculty development course?,Enrollment
How do I get a transcript verification?,Transcript
Can you please sign my final exam application form?,Signature
Can I receive my transcript by certified mail?,Transcript
Bagaimana cara saya memohon tarikh peperiksaan alternatif?,Examination
Could you sign my research proposal approval?,Signature
What are the rules for taking a midterm exam?,Examination
I require help in enrolling for my courses.,Enrollment
How can I obtain a transcript if I have graduated several years ago?,Transcript
Apakah prosedur untuk memohon lanjutan transkrip?,Other
Bagaimana saya boleh menukar subjek yang telah saya daftar?,Enrollment
I need you to sign this form.,Signature
Where can I find the application form to enroll in a faculty workshop?,Enrollment
Is the exam open-book or closed-book?,Examination
Are there any guidelines for taking an oral exam?,Examination
What is the process to enroll in a university faculty research team?,Enrollment
What’s the policy for attending guest lectures?,Other
Adakah terdapat biasiswa untuk pelajar antarabangsa?,Scholarship
Can you provide more details about the university’s sustainability efforts?,Other
Adakah peperiksaan ini dijalankan secara dalam talian?,Examination
Is there any mentorship program for new students?,Other
Bagaimana saya menghantar permohonan biasiswa?,Scholarship
Apakah cara terbaik untuk menyeimbangkan akademik dan aktiviti kokurikulum?,Other
What are the best scholarships for international students?,Scholarship
Bolehkah anda tandatangan surat penerimaan biasiswa saya?,Signature
Bagaimana cara untuk menyerahkan cadangan untuk memperbaiki universiti?,Other
Can I get my transcript for my internship report submission?,Transcript
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
What are the rules for taking exams remotely?,Examination
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
How do I enroll in a summer program?,Enrollment
How long does it take to get my transcript?,Transcript
Are there any peer mentorship opportunities on campus?,Other
Apa yang berlaku jika saya didapati menipu semasa peperiksaan?,Examination
Where can I get advice on time management?,Other
I need your signature for this form.,Signature
Can I register for a teaching assistance role this semester?,Enrollment
Perlukah saya menyediakan kenyataan peribadi untuk permohonan biasiswa?,Scholarship
Is it allowed to bring a charger for my electronic devices into the exam room?,Examination
What is the process for retaking an exam?,Examination
What is the deadline for faculty to register for summer courses?,Enrollment
Ini adalah soalan yang saya tak boleh kategorikan.,Other
How do I apply for on-campus jobs?,Other
Where can I find a list of student scholarships?,Other
Can I enroll in a faculty networking event this semester?,Enrollment
What is the procedure for enrolling in faculty-led community outreach projects?,Enrollment
Where do I submit my enrollment for the annual faculty symposium?,Enrollment
Can I meet with a professor to discuss my academic interests?,Other
Bolehkah anda hantar transkrip akademik saya kepada saya?,Transcript
Bolehkah anda segera hantar transkrip saya kepada saya?,Transcript
Bagaimana saya boleh menghubungi jabatan sokongan IT?,Other
Bagaimana saya boleh mendapatkan salinan kertas peperiksaan selepas peperiksaan?,Examination
What should I do if I need to report an incident?,Other
Is there a way to contact the alumni association?,Other
Adakah terdapat biasiswa untuk pelajar yang mengejar kerjaya dalam seni dan reka bentuk?,Scholarship
Bolehkah anda tandatangan surat permohonan untuk beasiswa saya?,Signature
Sila tandatangan dokumen ini untuk melengkapkan permohonan.,Signature
Bolehkah anda hantar transkrip saya ke majikan saya?,Transcript
Apakah biasiswa yang tersedia untuk pelajar yang mengejar ijazah dalam bidang undang-undang?,Scholarship
How do I apply for a scholarship as an international student?,Scholarship
Would you sign my sabbatical leave form?,Signature
What’s the policy on personal items in the library?,Other
Bolehkah saya mendapatkan salinan transkrip dari semester tertentu?,Transcript
Bagaimana cara saya mendapatkan transkrip untuk aplikasi kepada program latihan?,Transcript
Bagaimana cara untuk mendaftar kursus dalam talian?,Enrollment
Boleh bantu saya dengan proses pendaftaran?,Enrollment
What is the application process for a full-tuition scholarship?,Scholarship
Please sign my leave request for family reasons.,Signature
Can I bring a voice recorder into the exam?,Examination
How do I submit a suggestion for improving the university?,Other
What are the deadlines for faculty course enrollment?,Enrollment
Can I get your signature on my student employment verification form?,Signature
Could you sign this for processing?,Signature
Can I leave the exam room if I am feeling sick?,Examination
Bolehkah anda tandatangan borang permohonan penangguhan pengajian saya?,Signature
What is the process for enrolling in a professional development program?,Enrollment
Apakah dokumen yang diperlukan untuk memohon biasiswa?,Scholarship
Bagaimana cara saya memohon transkrip untuk penilaian transkrip antarabangsa?,Transcript
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
I need help understanding the student grievance process.,Other
Boleh beri maklumat mengenai proses pendaftaran?,Enrollment
Di manakah saya boleh mendapatkan lebih banyak maklumat mengenai kelab pelajar?,Other
Bolehkah anda tandatangan borang pengecualian subjek saya?,Signature
This is a random question I need answered.,Other
Can I apply for a scholarship if I don’t have an outstanding academic record?,Scholarship
Apa yang perlu saya lakukan jika saya terlupa masa bermulanya peperiksaan?,Examination
What are the chances of getting a scholarship?,Scholarship
Is there any mentorship program for new students?,Other
Can I get my transcript before my final grades are posted?,Transcript
How do I obtain a transcript if I transferred from another university?,Transcript
Di manakah saya boleh mengetahui lebih lanjut mengenai program kepimpinan pelajar?,Other
Bolehkah anda emailkan saya salinan tidak rasmi transkrip saya?,Transcript
Bolehkah saya menggunakan kertas peperiksaan saya sendiri jika saya kehabisan ruang?,Examination
